stevilka,domaca_ekipa,gostujoca_ekipa,rezultat,krog,datum,ura,liga
3058919,2015,2021,1-1,11,2019-10-30,19:00,4
3058920,2033,2039,0-1,12,2019-11-3,18:30,4
3058921,2032,2015,1-2,12,2019-11-2,13:00,4
3058922,7072,2028,1-2,12,2019-11-3,21:00,4
3058923,2053,2042,1-2,12,2019-11-3,18:30,4
3058924,2036,2017,3-1,12,2019-11-2,16:00,4
3058925,2022,2037,4-2,12,2019-11-3,16:00,4
3058926,2016,2025,0-0,12,2019-11-2,21:00,4
3058927,2021,2020,1-1,12,2019-11-2,18:30,4
3058928,2023,2019,0-0,12,2019-11-3,14:00,4
3058929,2031,2027,3-0,12,2019-11-3,12:00,4
3058930,2037,2031,3-0,13,2019-11-9,13:00,4
3058931,2019,2036,2-1,13,2019-11-10,14:00,4
3058932,2020,2032,3-1,13,2019-11-10,16:00,4
3058933,2017,2033,4-1,13,2019-11-9,21:00,4
3058934,2025,2021,1-2,13,2019-11-10,21:00,4
3058935,2042,2016,0-4,13,2019-11-9,18:30,4
3058936,2039,2022,0-0,13,2019-11-10,18:30,4
3058937,2027,2023,3-1,13,2019-11-10,12:00,4
3058938,2028,2053,1-1,13,2019-11-8,21:00,4
3058939,2015,7072,2-0,13,2019-11-9,16:00,4
3058940,2025,2015,2-1,14,2019-11-23,16:00,4
3058941,2042,2037,0-2,14,2019-11-24,16:00,4
3058942,2032,2039,1-1,14,2019-11-24,12:00,4
3058943,7072,2020,1-1,14,2019-11-23,18:30,4
3058944,2053,2017,1-2,14,2019-11-23,13:00,4
3058945,2036,2027,2-1,14,2019-11-22,21:00,4
3058946,2022,2019,1-2,14,2019-11-24,14:00,4
3058947,2016,2028,3-1,14,2019-11-23,21:00,4
3058948,2023,2033,1-3,14,2019-11-24,18:30,4
3058949,2031,2021,0-1,14,2019-11-24,21:00,4
3058950,2037,2016,1-2,15,2019-11-30,13:00,4
3058951,2019,7072,2-0,15,2019-12-1,14:00,4
3058952,2020,2017,0-1,15,2019-12-1,21:00,4
3058953,2033,2031,0-0,15,2019-11-29,21:00,4
3058954,2032,2022,2-4,15,2019-12-1,16:00,4
3058955,2039,2036,4-0,15,2019-12-1,18:30,4
3058956,2027,2025,1-2,15,2019-11-30,18:30,4
3058957,2028,2042,4-1,15,2019-11-30,16:00,4
3058958,2021,2053,1-0,15,2019-12-1,12:00,4
3058959,2015,2023,2-1,15,2019-11-30,21:00,4
3058960,2017,2027,5-2,16,2019-12-7,21:00,4
3058961,2025,2019,3-2,16,2019-12-8,14:00,4
3058962,2042,2039,0-1,16,2019-12-8,12:00,4
3058963,7072,2037,3-0,16,2019-12-7,16:00,4
3058964,2053,2033,3-2,16,2019-12-8,18:30,4
3058965,2036,2015,2-4,16,2019-12-7,18:30,4
3058966,2022,2021,1-1,16,2019-12-8,21:00,4
3058967,2016,2032,2-0,16,2019-12-7,13:00,4
3058968,2023,2020,0-0,16,2019-12-6,21:00,4
3058969,2031,2028,0-0,16,2019-12-8,16:00,4
3058970,2037,2053,1-1,17,2019-12-13,21:00,4
3058971,2019,2042,0-0,17,2019-12-14,18:30,4
3058972,2020,2022,2-0,17,2019-12-14,21:00,4
3058973,2033,2027,2-2,17,2019-12-15,14:00,4
3058974,2032,2025,2-2,17,2019-12-15,16:00,4
3058975,2039,2031,2-0,17,2019-12-15,12:00,4
3058976,7072,2036,1-2,17,2019-12-14,13:00,4
3058977,2028,2017,2-2,17,2019-12-14,16:00,4
3058978,2021,2023,1-2,17,2019-12-15,18:30,4
3058979,2015,2016,1-1,17,2019-12-15,21:00,4
3058980,2017,2037,4-1,18,2019-12-21,16:00,4
3058981,2025,2020,1-2,18,2019-12-22,16:00,4
3058982,2042,7072,3-0,18,2019-12-20,21:00,4
3058983,2053,2032,2-0,18,2019-12-22,12:00,4
3058984,2036,2033,3-1,18,2019-12-22,18:30,4
3058985,2027,2021,0-2,18,2019-12-21,13:00,4
3058986,2022,2028,3-4,18,2019-12-22,14:00,4
3058987,2016,2019,0-0,18,2019-12-22,21:00,4
3058988,2023,2039,1-0,18,2019-12-21,18:30,4
3058989,2031,2015,1-1,18,2019-12-21,21:00,4
3058990,2037,2025,1-1,19,2020-1-5,16:00,4
3058991,2020,2036,2-1,19,2020-1-4,18:30,4
3058992,2033,2022,1-1,19,2020-1-5,21:00,4
3058993,2032,2017,2-2,19,2020-1-4,21:00,4
3058994,2039,2016,0-3,19,2020-1-4,16:00,4
3058995,7072,2027,1-0,19,2020-1-5,12:00,4
3058996,2028,2023,1-2,19,2020-1-5,14:00,4
3058997,2021,2019,1-1,19,2020-1-3,21:00,4
3058998,2015,2042,1-0,19,2020-1-4,13:00,4
3058999,2031,2053,2-2,19,2020-1-3,19:00,4
3059000,2019,2033,1-1,20,2020-1-19,18:30,4
3059001,2017,7072,1-0,20,2020-1-19,21:00,4
3059002,2025,2028,3-0,20,2020-1-19,14:00,4
3059003,2042,2020,2-0,20,2020-1-18,21:00,4
3059004,2053,2039,0-3,20,2020-1-17,21:00,4
3059005,2036,2037,0-1,20,2020-1-18,13:00,4
